image_id  x_1    y_1    width   height
000093.jpg 176 49 48 53
000114.jpg 175 72 147 203
000131.jpg 66 77 135 172
000149.jpg 216 68 107 141
000176.jpg 128 61 133 186
000180.jpg 152 248 334 429
000207.jpg 199 52 107 139
000277.jpg 87 109 165 206
000280.jpg 36 48 104 145
000306.jpg 110 71 220 323
000457.jpg 115 87 156 211
000461.jpg 106 57 147 218
000486.jpg 114 70 132 188
000501.jpg 153 86 171 205
000565.jpg 700 153 295 396
000625.jpg 69 19 58 81
000654.jpg 173 43 196 290
000678.jpg 101 72 105 131
000711.jpg 111 41 60 81
000724.jpg 98 53 83 126
000727.jpg 474 107 172 242
000772.jpg 83 99 171 218
000795.jpg 220 84 173 230
000825.jpg 159 146 233 319
000833.jpg 87 86 127 192
000875.jpg 81 108 152 209
000876.jpg 151 107 150 200
000957.jpg 244 72 101 136
000962.jpg 108 138 111 184
000985.jpg 124 67 58 96
000987.jpg 76 75 173 270
000988.jpg 182 52 45 58
000989.jpg 87 72 239 309
000991.jpg 214 125 261 345
001004.jpg 57 92 168 218
001053.jpg 72 29 65 83
001084.jpg 168 81 131 184
001085.jpg 138 52 127 157
001145.jpg 104 79 145 202
001276.jpg 129 0 76 119
001313.jpg 60 75 159 215
001319.jpg 206 81 178 242
001321.jpg 100 97 127 169
001367.jpg 76 128 239 332
001382.jpg 617 224 457 546
001414.jpg 102 101 149 208
001508.jpg 97 65 131 182
001568.jpg 433 472 726 909
001571.jpg 97 44 72 104
001598.jpg 136 80 161 192
001602.jpg 165 125 201 266
001618.jpg 144 26 160 227
001651.jpg 62 46 88 121
001697.jpg 137 103 156 225
001719.jpg 132 43 113 140
001728.jpg 168 32 116 181
001854.jpg 70 110 148 225
001855.jpg 177 49 87 110
001941.jpg 417 108 161 227
001948.jpg 79 95 188 258
002028.jpg 171 80 162 227
002036.jpg 97 47 46 64
002045.jpg 149 47 88 129
002056.jpg 288 63 257 356
002058.jpg 275 123 125 157
002068.jpg 35 66 51 71
002123.jpg 84 137 236 300
002135.jpg 1902 395 421 539
002153.jpg 107 49 78 112
002154.jpg 128 108 233 326
002173.jpg 77 109 151 204
002184.jpg 333 77 101 147
002188.jpg 69 48 126 192
002429.jpg 98 96 206 280
002433.jpg 95 90 67 83
002512.jpg 62 59 110 180
002559.jpg 56 68 128 163
002590.jpg 130 20 103 122
002613.jpg 78 23 80 106
